ORIGIN_AIRPORT_ID,AVG_DEP_DELAY,VAR_DEP_DELAY,MAX_DEP_DELAY,MIN_DEP_DELAY,COUNT_DEP_DELAY,COUNT_DEP_DELAY_10_OR_MORE,OUTLIERS_DEP_DELAY,AVG_ARR_TIME,VAR_ARR_TIME,MAX_ARR_TIME,MIN_ARR_TIME,AVG_ARR_DELAY,VAR_ARR_DELAY,MAX_ARR_DELAY,MIN_ARR_DELAY,COUNT_ARR_DELAY,COUNT_ARR_DELAY_5_OR_MORE,OUTLIERS_ARR_DELAY,PROPORTION_COUNT_DEP_DELAY_10_OR_MORE,PROPORTION_OUTLIERS_DEP_DELAY,PROPORTION_COUNT_ARR_DELAY_5_OR_MORE,PROPORTION_OUTLIERS_ARR_DELAY
10135,12.208722741433021,2998.07817367601,350.0,-28.0,321,62,43,1395.9657320872275,251233.79569704048,2314.0,3.0,8.221183800623052,3027.4290498442406,331.0,-48.0,321,96,33,0.19314641744548286,0.13395638629283488,0.29906542056074764,0.102803738317757
10136,5.428571428571429,1930.5577416595384,453.0,-15.0,168,24,24,1143.9642857142858,159486.58554319924,2047.0,539.0,8.273809523809524,2048.7030225263748,432.0,-29.0,168,63,10,0.14285714285714285,0.14285714285714285,0.375,0.05952380952380952
10140,3.961061946902655,1012.8001358255576,583.0,-23.0,1695,254,224,1373.844063792085,204162.5371352489,2349.0,5.0,-2.1064458900059138,1191.4679525087568,588.0,-49.0,1691,355,118,0.14985250737463127,0.13215339233038348,0.20993494973388527,0.06978119455943228
10141,9.983333333333333,3467.2370056497166,318.0,-13.0,60,11,7,1048.4833333333333,163396.55903954804,1522.0,547.0,4.916666666666667,3271.7725988700563,299.0,-41.0,60,16,5,0.18333333333333332,0.11666666666666667,0.26666666666666666,0.08333333333333333
10146,2.783132530120482,763.5865412870996,153.0,-14.0,83,12,12,1235.0361445783133,190635.5230678813,2054.0,710.0,-5.108433734939759,872.6100499559211,166.0,-26.0,83,12,5,0.14457831325301204,0.14457831325301204,0.14457831325301204,0.060240963855421686
10155,-3.780701754385965,230.40281012265194,108.0,-20.0,114,11,12,1296.201754385965,241216.215572116,2036.0,552.0,-9.052631578947368,267.8202142524452,94.0,-31.0,114,13,8,0.09649122807017543,0.10526315789473684,0.11403508771929824,0.07017543859649122
10157,36.41228070175438,7202.262148734668,387.0,-21.0,114,40,17,1251.5,233731.49115044245,2258.0,647.0,39.48245614035088,7814.694379754696,480.0,-35.0,114,59,14,0.3508771929824561,0.14912280701754385,0.5175438596491229,0.12280701754385964
10158,0.3523489932885906,1756.969708268367,454.0,-21.0,298,26,30,1410.1409395973155,268713.7982509663,2358.0,225.0,-5.540268456375839,1908.4175649108533,431.0,-44.0,298,53,16,0.087248322147651,0.10067114093959731,0.17785234899328858,0.053691275167785234
10165,-1.3333333333333333,257.75,21.0,-25.0,9,2,0,2065.6666666666665,1205.250000000003,2115.0,2025.0,-11.11111111111111,312.1111111111111,17.0,-40.0,9,2,0,0.2222222222222222,0.0,0.2222222222222222,0.0
10170,-2.1132075471698113,1117.3715529753265,139.0,-29.0,53,10,5,1392.2830188679245,193118.20682148042,1851.0,832.0,-1.4528301886792452,1163.598693759071,142.0,-28.0,53,14,4,0.18867924528301888,0.09433962264150944,0.2641509433962264,0.07547169811320754
10185,-1.7519685039370079,494.1872490741027,188.0,-19.0,254,26,30,1334.0590551181103,214198.34037222606,2249.0,704.0,-3.248031496062992,787.2939684416917,183.0,-37.0,254,68,10,0.10236220472440945,0.11811023622047244,0.2677165354330709,0.03937007874015748
10208,2.4585798816568047,1070.5873000544307,340.0,-18.0,338,42,42,1256.4319526627219,218037.51019261498,2251.0,616.0,-4.384615384615385,1206.7477744807127,343.0,-34.0,338,56,27,0.1242603550295858,0.1242603550295858,0.16568047337278108,0.07988165680473373
10257,12.670428893905191,4298.444932471211,1197.0,-36.0,886,199,120,1383.8453724604967,233619.2427299744,2327.0,10.0,4.850678733031674,4849.094325699619,1241.0,-57.0,884,260,68,0.22460496613995484,0.13544018058690746,0.29411764705882354,0.07692307692307693
10268,14.416666666666666,1704.4184397163115,161.0,-12.0,48,14,6,1075.1914893617022,133046.59296947278,1659.0,651.0,17.0,2178.7826086956525,168.0,-34.0,47,20,4,0.2916666666666667,0.125,0.425531914893617,0.0851063829787234
